post_id,platform,post_date,content_type,topic,views,likes,comments,shares
32,Twitter,2026-03-13,Carousel,Business,,4041,757,224
33,TikTok,2026-02-18,REEL,Education,21868,1031,180,146
34,TikTok,2026-02-06,VIDEO,Design,12349,1273,209,144
35,YouTube,2026-01-07,Image,Design,44498,3465,340,396
36,Facebook,2026-03-27,VIDEO,Design,23547,1523,277,159
37,TWITTER,2026-02-06,Carousel,Lifestyle,14982,367,23,53
38,Instagram,2026-02-19,VIDEO,Technology,39281,4241,701,480
39,TIKTOK,2026-01-05,Text,Design,35308,2310,230,121
40,tiktok,2026-01-10,Carousel,Lifestyle,29971,1051,84,113
41,TikTok,2026-02-27,IMAGE,Business,39502,4672,482,410
42,TikTok,2026-01-19,reel,Business,36991,4202,668,367
43,TIKTOK,2026-02-04,IMAGE,Design,28821,3274,385,471
44,YouTube,2026-03-14,reel,Entertainment,11364,577,69,67
45,youtube,2026-03-11,reel,Education,33381,2576,215,229
46,TIKTOK,2026-03-24,Carousel,Education,33737,1336,259,198
47,instagram,2026-03-02,Carousel,Education,13837,1236,108,124
48,Facebook,2026-02-05,Carousel,Technology,23136,1708,220,111
49,INSTAGRAM,2026-03-01,Reel,Education,21841,1235,161,162
50,TIKTOK,2026-02-01,Image,Finance,12484,792,85,55
51,tiktok,2026-02-14,text,Technology,10651,757,118,53
52,Instagram,2026-01-06,REEL,Technology,15372,477,29,66
53,TWITTER,2026-03-06,Reel,Lifestyle,49187,4856,861,546
54,youtube,2026-02-28,Video,Education,25150,1316,211,108
55,YouTube,2026-03-07,Reel,Finance,39572,2073,348,274
56,Instagram,2026-03-05,Reel,Entertainment,31835,3689,615,270
57,instagram,2026-02-14,Text,Design,31012,3269,451,198
58,Twitter,2026-01-12,video,Design,46755,3070,303,132
59,twitter,2026-01-04,Video,Entertainment,25902,2843,260,332
60,YouTube,2026-03-17,Video,Technology,23087,1434,181,178
61,facebook,2026-02-17,text,Business,42838,3004,561,129
62,youtube,2026-03-12,video,Education,22915,2217,314,310
63,TWITTER,2026-02-16,Video,Education,47281,4266,450,227
64,TikTok,2026-02-11,Text,Lifestyle,21404,1887,185,153
65,INSTAGRAM,2026-02-26,Carousel,Education,13867,772,135,108
66,youtube,2026-01-26,video,Lifestyle,23150,1033,184,81
67,twitter,2026-03-24,Carousel,Education,26618,1711,191,135
68,TikTok,2026-03-19,Video,Finance,47000,1836,233,266
69,YouTube,2026-02-20,IMAGE,Design,23376,1439,267,82
70,Instagram,2026-01-07,Text,Business,36329,3532,492,447
71,TikTok,2026-02-19,Reel,Business,21278,926,118,63
72,TikTok,2026-02-23,Video,Lifestyle,20172,1577,159,190
73,YouTube,2026-02-09,Carousel,Education,43292,3044,570,364
74,Twitter,2026-02-02,Text,Entertainment,45376,2156,220,185
75,INSTAGRAM,2026-01-28,text,Design,12740,511,62,49
76,Facebook,2026-02-23,Video,Education,45452,1927,145,188
77,TikTok,2026-01-25,Carousel,Lifestyle,17500,1956,218,142
78,TWITTER,2026-01-26,video,Lifestyle,26829,1983,118,284
79,instagram,2026-03-10,Carousel,Lifestyle,20857,1067,137,79
80,Twitter,2026-03-11,Text,Entertainment,19985,894,84,69
81,Instagram,2026-03-01,Reel,Technology,37798,4093,498,349
82,INSTAGRAM,2026-02-07,reel,Technology,34160,3782,410,211
83,INSTAGRAM,2026-01-14,text,Technology,23165,1160,111,88
84,Instagram,2026-02-24,Carousel,Education,16450,1166,133,121
85,Instagram,2026-01-25,Reel,Education,26388,2723,191,180
86,twitter,2026-02-18,Image,Technology,16954,1630,229,161
87,Twitter,2026-02-26,TEXT,Design,31940,3230,250,477
88,INSTAGRAM,2026-02-14,IMAGE,Entertainment,41961,3329,461,289
89,INSTAGRAM,2026-01-14,REEL,Finance,23041,1269,144,142
90,youtube,2026-02-15,Video,Education,21098,1622,128,197
91,youtube,2026-03-19,video,Technology,30143,2608,187,272
92,Facebook,2026-01-29,VIDEO,Education,28905,1780,188,143
93,TWITTER,2026-02-11,IMAGE,Business,15967,1639,114,84
94,youtube,2026-01-20,IMAGE,Education,49397,2945,348,345
95,INSTAGRAM,2026-03-07,Reel,Finance,12234,329,60,12
96,Twitter,2026-02-21,reel,Education,33027,3373,266,220
97,TikTok,2026-03-29,VIDEO,Business,24467,2353,405,170
98,Facebook,2026-03-24,REEL,Design,34747,2080,240,229
99,TWITTER,2026-03-04,video,Entertainment,36998,3826,504,394
100,Instagram,2026-02-14,Text,Design,10156,926,163,80
101,tiktok,2026-02-15,Reel,Entertainment,32194,1884,272,217
102,FACEBOOK,2026-01-28,reel,Lifestyle,21272,709,83,86
103,tiktok,2026-03-27,REEL,Design,44463,4093,522,579
104,TikTok,2026-03-08,reel,Finance,23358,1551,211,210
105,Twitter,2026-01-16,Video,Technology,44122,2393,263,334
106,youtube,2026-03-02,Carousel,Lifestyle,12489,1225,123,98
107,TikTok,2026-03-15,Text,Technology,40683,1611,280,131
108,TIKTOK,2026-03-18,REEL,Education,45802,4086,634,420
109,Twitter,2026-03-28,Reel,Finance,22416,1619,103,113
110,YouTube,2026-01-26,Video,Technology,16480,1051,192,104
111,Twitter,2026-01-09,Carousel,Education,12241,535,63,55
112,TikTok,2026-02-09,Video,Technology,18228,883,153,60
113,FACEBOOK,2026-01-23,Video,Entertainment,20272,1398,245,185
114,Instagram,2026-01-19,Video,Business,42517,1780,285,159
115,Instagram,2026-02-14,Reel,Entertainment,27361,2881,399,228
116,INSTAGRAM,2026-03-09,Reel,Technology,39494,2288,142,326
117,Facebook,2026-03-28,text,Education,37533,3912,504,507
118,YouTube,2026-02-08,video,Education,26569,2168,140,244
119,youtube,2026-02-23,Video,Design,46727,4771,328,510
120,facebook,2026-01-27,reel,Technology,44512,1748,228,111
121,Twitter,2026-02-26,Text,Design,42375,1785,152,143
122,youtube,2026-03-16,REEL,Finance,19047,1927,330,174
123,twitter,2026-03-16,Carousel,Education,21015,1377,208,187
124,facebook,2026-03-07,Image,Design,32069,2864,264,171
125,Facebook,2026-02-04,TEXT,Entertainment,11663,912,159,101
126,INSTAGRAM,2026-01-19,Reel,Business,15865,1168,172,125
127,TWITTER,2026-03-02,video,Technology,39294,2136,335,263
128,YouTube,2026-01-25,Carousel,Technology,23675,984,103,118
129,Facebook,2026-02-02,Reel,Technology,33139,1839,266,220
130,Twitter,2026-02-11,Text,Lifestyle,17992,1590,121,114
131,TikTok,2026-02-04,Video,Technology,13010,483,39,63
132,tiktok,2026-01-08,TEXT,Design,23351,1923,303,80
133,Instagram,2026-01-16,Image,Business,10738,1055,87,144
134,youtube,2026-01-05,Reel,Business,36081,2626,381,291
135,facebook,2026-02-14,text,Technology,29851,2814,249,150
136,TikTok,2026-03-12,Video,Technology,10011,926,118,127
137,tiktok,2026-01-29,Reel,Education,33045,3319,251,466
138,Twitter,2026-01-09,REEL,Technology,44121,3928,522,504
139,Twitter,2026-02-09,text,Technology,10651,722,86,64
140,INSTAGRAM,2026-03-16,Video,Technology,27063,1844,117,147
141,Instagram,2026-03-24,video,Lifestyle,44605,3738,284,185
142,twitter,2026-01-16,TEXT,Finance,41961,2178,168,142
143,tiktok,2026-02-15,Video,Design,12028,883,61,65
144,Instagram,2026-03-03,Text,Finance,12885,1088,143,149
145,Instagram,2026-02-12,Video,Business,24840,1199,103,115
146,Facebook,2026-03-08,Carousel,Education,21034,2207,314,264
147,INSTAGRAM,2026-02-13,text,Technology,17482,752,99,75
148,FACEBOOK,2026-01-07,Image,Education,28135,2215,223,124
149,tiktok,2026-03-14,text,Entertainment,19482,1851,211,268
150,TikTok,2026-02-06,REEL,Technology,42194,3699,504,364
151,Instagram,2026-01-11,Text,Finance,39502,3291,241,202
152,Instagram,2026-03-24,Carousel,Education,10850,705,82,76
153,Twitter,2026-02-24,text,Technology,13867,1102,112,87
154,TWITTER,2026-03-18,VIDEO,Design,31012,2439,328,154
155,FACEBOOK,2026-02-19,Image,Lifestyle,46755,2712,328,198
156,TikTok,2026-03-13,Video,Lifestyle,21408,1894,312,192
157,youtube,2026-01-15,video,Education,47281,4192,521,438
158,Twitter,2026-01-29,text,Finance,20857,1268,112,154
159,YouTube,2026-03-01,video,Design,19985,1622,158,160
160,FACEBOOK,2026-01-10,Carousel,Finance,28905,1239,122,115
161,Twitter,2026-01-16,Video,Education,15967,1230,172,131
162,INSTAGRAM,2026-03-22,Video,Technology,33027,3102,284,233
163,TikTok,2026-03-02,Carousel,Education,24467,2110,314,212
164,FACEBOOK,2026-01-23,Video,Technology,34747,2882,410,210
165,TWITTER,2026-03-21,text,Lifestyle,36998,2841,266,228
166,Instagram,2026-03-11,image,Finance,10156,412,49,38
167,tiktok,2026-03-09,Video,Finance,32194,2201,178,145
168,Facebook,2026-03-19,Image,Business,21272,1980,211,289
169,tiktok,2026-01-27,Video,Technology,44463,3820,612,410
170,TikTok,2026-02-11,Video,Finance,23358,1248,103,110
171,TWITTER,2026-01-26,Video,Design,44122,4120,533,391
172,YouTube,2026-02-08,Reel,Business,12489,1102,154,120
173,tiktok,2026-01-22,Text,Lifestyle,40683,3108,354,211
174,TIKTOK,2026-03-15,Video,Finance,45802,3284,288,290
175,Twitter,2026-02-09,Text,Education,22416,1839,211,142
176,YouTube,2026-01-08,IMAGE,Lifestyle,16480,1230,111,105
177,Twitter,2026-02-14,text,Technology,12241,894,84,69
178,TikTok,2026-02-06,REEL,Education,18228,1540,185,122
179,FACEBOOK,2026-01-18,video,Technology,20272,1120,110,95
180,Instagram,2026-03-20,IMAGE,Design,42517,3102,284,233
181,Instagram,2026-02-09,text,Finance,27361,2110,314,212
182,INSTAGRAM,2026-01-27,IMAGE,Business,39494,2882,410,210
183,Facebook,2026-03-05,Text,Technology,37533,2841,266,228
184,YouTube,2026-01-26,Image,Business,26569,2102,185,142
185,youtube,2026-02-11,Video,Design,46727,3982,512,390
186,facebook,2026-03-17,video,Entertainment,44512,3201,411,280
187,Twitter,2026-01-23,Reel,Lifestyle,42375,3108,354,211
188,youtube,2026-03-11,Carousel,Business,19047,1284,188,129
189,twitter,2026-02-19,Image,Education,21015,1839,211,142
190,facebook,2026-01-22,Text,Lifestyle,32069,2230,211,185
191,Facebook,2026-03-15,Video,Education,11663,994,84,69
192,INSTAGRAM,2026-02-18,Text,Design,15865,1240,185,122
193,TWITTER,2026-02-01,text,Technology,39294,3120,310,295
194,YouTube,2026-03-24,video,Entertainment,23675,1802,214,133
195,Facebook,2026-02-14,text,Technology,33139,2110,314,212
196,Twitter,2026-03-09,Video,Finance,17992,1282,141,110
197,TikTok,2026-03-02,Carousel,Lifestyle,13010,841,66,52
198,tiktok,2026-01-28,Video,Business,23351,1902,211,142
199,Instagram,2026-02-10,Carousel,Finance,10738,830,81,65
200,youtube,2026-02-22,video,Education,36081,2994,384,269
201,facebook,2026-01-17,Image,Design,29851,2108,254,188
202,TikTok,2026-02-13,Carousel,Lifestyle,10011,720,84,69
203,tiktok,2026-03-18,Video,Technology,33045,2840,318,255
204,Twitter,2026-01-11,Text,Finance,44121,3902,410,310
205,Twitter,2026-02-27,IMAGE,Design,10651,810,61,65
206,INSTAGRAM,2026-01-19,Video,Lifestyle,27063,2188,143,149
207,Instagram,2026-02-15,Carousel,Business,44605,3199,303,215
208,twitter,2026-02-24,Image,Design,41961,3207,314,264
209,tiktok,2026-03-16,Video,Education,12028,752,99,75
210,Instagram,2026-01-20,Reel,Education,12885,1215,123,124
211,Instagram,2026-03-08,TEXT,Business,24840,1851,211,268
212,Facebook,2026-01-21,Video,Finance,21034,1699,204,164
213,INSTAGRAM,2026-02-25,Image,Lifestyle,17482,1291,141,102
214,FACEBOOK,2026-03-14,text,Technology,28135,2105,282,176
215,tiktok,2026-01-08,Video,Education,19482,1102,112,87
216,TikTok,2026-02-26,Video,Lifestyle,42194,3439,428,254
217,Instagram,2026-03-12,Carousel,Design,39502,2712,328,198
218,Instagram,2026-02-01,text,Business,10850,894,112,92
219,Twitter,2026-03-18,Reel,Finance,13867,1192,152,108
220,TWITTER,2026-01-14,Video,Technology,31012,2268,212,184
221,FACEBOOK,2026-02-22,video,Education,46755,3894,458,360
222,TikTok,2026-01-19,IMAGE,Lifestyle,21408,1810,181,140
223,youtube,2026-03-05,text,Business,47281,3992,422,388
224,Twitter,2026-01-28,Carousel,Design,20857,1230,111,105
225,YouTube,2026-02-17,Video,Technology,19985,1540,185,122
226,FACEBOOK,2026-02-09,Image,Education,28905,2120,210,195
227,Twitter,2026-03-23,Video,Finance,15967,1102,184,133
228,INSTAGRAM,2026-01-12,Carousel,Lifestyle,33027,2110,314,212
229,TikTok,2026-02-20,video,Technology,24467,1882,210,180
230,FACEBOOK,2026-03-11,Text,Finance,34747,2841,266,228
231,TWITTER,2026-01-25,Video,Education,36998,2102,185,142
232,Instagram,2026-02-18,Video,Lifestyle,10156,882,112,90
233,tiktok,2026-03-26,Carousel,Design,32194,2201,311,280
234,Facebook,2026-01-05,REEL,Business,21272,1354,121,110
235,tiktok,2026-02-19,Video,Technology,44463,3108,354,211
236,TikTok,2026-03-01,Reel,Lifestyle,23358,1284,188,129
237,TWITTER,2026-01-29,text,Finance,44122,3839,411,342
238,YouTube,2026-02-16,Video,Design,12489,1130,111,85
239,tiktok,2026-03-22,Text,Entertainment,40683,2994,284,169
240,TIKTOK,2026-02-07,Image,Technology,45802,3851,459,328
241,Twitter,2026-01-14,Carousel,Education,22416,1699,204,164
242,YouTube,2026-02-28,text,Lifestyle,16480,1291,141,102
243,Twitter,2026-03-12,Video,Technology,12241,1105,182,116
244,TikTok,2026-01-21,IMAGE,Design,18228,1102,112,87
245,FACEBOOK,2026-02-15,Video,Business,20272,1439,228,154
246,Instagram,2026-03-09,REEL,Finance,42517,2712,328,198
247,Instagram,2026-01-18,Carousel,Design,27361,1894,212,192
248,INSTAGRAM,2026-02-23,Video,Technology,39494,2192,252,188
249,Facebook,2026-01-06,text,Lifestyle,37533,2268,212,184
250,YouTube,2026-02-21,Video,Finance,26569,1894,181,140
251,youtube,2026-03-14,text,Technology,46727,3992,422,388
252,facebook,2026-01-11,Carousel,Business,44512,3230,311,205
253,Twitter,2026-02-20,IMAGE,Education,42375,3540,385,222
254,youtube,2026-03-25,video,Finance,19047,1212,141,102
255,twitter,2026-01-24,Video,Design,21015,1894,181,140
256,facebook,2026-02-10,Carousel,Lifestyle,32069,2102,284,188
257,Facebook,2026-03-03,IMAGE,Business,11663,982,88,71
258,INSTAGRAM,2026-01-15,text,Education,15865,1110,112,90
259,TWITTER,2026-02-28,Video,Design,39294,3108,354,211
260,YouTube,2026-01-08,Reel,Technology,23675,1284,188,129
261,Facebook,2026-02-22,video,Education,33139,2839,311,242
262,Twitter,2026-03-17,Video,Technology,17992,1130,111,85
263,TikTok,2026-01-27,IMAGE,Design,13010,994,84,69
264,tiktok,2026-02-18,Video,Finance,23351,1851,259,128
265,Instagram,2026-03-06,text,Lifestyle,10738,699,74,54
266,youtube,2026-01-13,Video,Technology,36081,2291,241,202
267,facebook,2026-02-27,text,Finance,29851,2102,185,142
268,TikTok,2026-03-21,Reel,Business,10011,894,84,69
269,tiktok,2026-01-09,IMAGE,Education,33045,2540,285,222
270,Twitter,2026-02-15,Video,Design,44121,3120,310,295
271,Twitter,2026-03-29,text,Technology,10651,894,84,69
272,INSTAGRAM,2026-01-31,Carousel,Education,27063,1851,211,268
273,Instagram,2026-02-17,Video,Finance,44605,3699,412,289
274,twitter,2026-03-01,Reel,Business,41961,3102,284,233
275,tiktok,2026-01-16,Video,Technology,12028,894,112,92
276,Instagram,2026-02-23,text,Education,12885,1192,152,108
277,Instagram,2026-03-19,Carousel,Lifestyle,24840,1268,112,154
278,Facebook,2026-01-04,IMAGE,Technology,21034,1894,312,192
279,INSTAGRAM,2026-02-08,Video,Design,17482,1102,111,105
280,FACEBOOK,2026-03-26,Carousel,Lifestyle,28135,2110,314,212
281,tiktok,2026-01-12,Text,Finance,19482,1282,141,110
282,TikTok,2026-02-22,video,Education,42194,3108,354,211
283,Instagram,2026-03-08,Text,Design,39502,2840,318,255
284,Instagram,2026-01-25,Reel,Technology,10850,720,84,69
285,Twitter,2026-02-13,text,Business,13867,1102,185,142
286,TWITTER,2026-03-10,Carousel,Finance,31012,2540,285,222
287,FACEBOOK,2026-01-21,IMAGE,Lifestyle,46755,3120,310,295
288,TikTok,2026-02-25,Video,Design,21408,1894,181,140
289,youtube,2026-03-18,Reel,Finance,47281,3851,459,328
290,Twitter,2026-01-07,video,Technology,20857,1699,204,164
291,YouTube,2026-02-12,Video,Business,19985,1291,141,102
292,FACEBOOK,2026-03-22,Carousel,Lifestyle,28905,2105,282,176
293,Twitter,2026-01-17,Text,Technology,15967,1102,112,87
294,INSTAGRAM,2026-02-03,Video,Design,33027,2439,328,154
295,TikTok,2026-03-16,video,Finance,24467,1712,188,142
296,FACEBOOK,2026-01-29,text,Lifestyle,34747,2108,254,188
297,TWITTER,2026-02-14,Video,Technology,36998,2994,384,269
298,Instagram,2026-03-07,Image,Design,10156,720,84,69
299,tiktok,2026-01-18,text,Education,32194,2840,318,255
300,Facebook,2026-02-28,Carousel,Business,21272,1110,112,90
301,tiktok,2026-03-13,video,Finance,44463,3108,354,211
302,TikTok,2026-01-06,text,Technology,23358,1284,188,129
303,TWITTER,2026-02-21,Video,Lifestyle,44122,3839,411,342
304,YouTube,2026-03-08,Reel,Education,12489,1130,111,85
305,tiktok,2026-01-15,Video,Design,40683,2994,284,169
306,TIKTOK,2026-02-26,Carousel,Technology,45802,3851,459,328
307,Twitter,2026-03-20,IMAGE,Finance,22416,1699,204,164
308,YouTube,2026-01-03,video,Lifestyle,16480,1291,141,102
309,Twitter,2026-02-17,Video,Technology,12241,1105,182,116
310,TikTok,2026-03-04,Image,Design,18228,1102,112,87
311,FACEBOOK,2026-01-26,Video,Business,20272,1439,228,154
312,Instagram,2026-02-09,REEL,Finance,42517,2712,328,198
313,Instagram,2026-03-27,Carousel,Design,27361,1894,212,192
314,INSTAGRAM,2026-01-13,Video,Technology,39494,2192,252,188
315,Facebook,2026-02-25,text,Lifestyle,37533,2268,212,184
316,YouTube,2026-03-10,Video,Finance,26569,1894,181,140
317,youtube,2026-01-22,text,Technology,46727,3992,422,388
318,facebook,2026-02-06,Carousel,Business,44512,3230,311,205
319,Twitter,2026-03-23,IMAGE,Education,42375,3540,385,222
320,youtube,2026-01-14,video,Finance,19047,1210,141,102
321,twitter,2026-02-28,Video,Design,21015,1894,181,140
322,facebook,2026-03-16,Carousel,Lifestyle,32069,2102,284,188
323,Facebook,2026-01-08,IMAGE,Business,11663,982,88,71
324,INSTAGRAM,2026-02-22,text,Education,15865,1110,112,90
325,TWITTER,2026-03-07,Video,Design,39294,3108,354,211
326,YouTube,2026-01-19,Reel,Technology,23675,1284,188,129
327,Facebook,2026-02-03,video,Education,33139,2839,311,242
328,Twitter,2026-03-25,Video,Technology,17992,1130,111,85
329,TikTok,2026-01-11,IMAGE,Design,13010,994,84,69
330,tiktok,2026-02-24,Video,Finance,23351,1851,259,128
331,Instagram,2026-03-15,text,Lifestyle,10738,699,74,54
332,youtube,2026-01-28,Video,Technology,36081,2291,241,202
333,facebook,2026-02-12,text,Finance,29851,2102,185,142
334,TikTok,2026-03-28,Reel,Business,10011,894,84,69
335,tiktok,2026-01-17,IMAGE,Education,33045,2540,285,222
336,Twitter,2026-02-02,Video,Design,44121,3120,310,295
337,Twitter,2026-03-18,text,Technology,10651,894,84,69
338,INSTAGRAM,2026-01-05,Carousel,Education,27063,1851,211,268
339,Instagram,2026-02-21,Video,Finance,44605,3699,412,289
340,twitter,2026-03-06,Reel,Business,41961,3102,284,233
341,tiktok,2026-01-23,Video,Technology,12028,894,112,92
342,Instagram,2026-02-07,text,Education,12885,1192,152,108
343,Instagram,2026-03-23,Carousel,Lifestyle,24840,1268,112,154
344,Facebook,2026-01-09,IMAGE,Technology,21034,1894,312,192
345,INSTAGRAM,2026-02-23,Video,Design,17482,1102,111,105
346,FACEBOOK,2026-03-12,Carousel,Lifestyle,28135,2110,314,212
347,tiktok,2026-01-26,Text,Finance,19482,1282,141,110
348,TikTok,2026-02-08,video,Education,42194,3108,354,211
349,Instagram,2026-03-24,Text,Design,39502,2840,318,255
350,Instagram,2026-01-10,Reel,Technology,10850,720,84,69
351,Twitter,2026-02-28,text,Business,13867,1102,185,142
352,TWITTER,2026-03-16,Carousel,Finance,31012,2540,285,222
353,FACEBOOK,2026-01-27,IMAGE,Lifestyle,46755,3120,310,295
354,TikTok,2026-02-12,Video,Design,21408,1894,181,140
355,youtube,2026-03-03,Reel,Finance,47281,3851,459,328
356,Twitter,2026-01-13,video,Technology,20857,1699,204,164
357,YouTube,2026-02-26,Video,Business,19985,1291,141,102
358,FACEBOOK,2026-03-11,Carousel,Lifestyle,28905,2105,282,176
359,Twitter,2026-01-02,Text,Technology,15967,1102,112,87
360,INSTAGRAM,2026-02-16,Video,Design,33027,2439,328,154
361,TikTok,2026-03-01,video,Finance,24467,1712,188,142
362,FACEBOOK,2026-01-14,text,Lifestyle,34747,2108,254,188
363,TWITTER,2026-02-27,Video,Technology,36998,2994,384,269
364,Instagram,2026-03-12,Image,Design,10156,720,84,69
365,tiktok,2026-01-25,text,Education,32194,2840,318,255
366,Facebook,2026-02-07,Carousel,Business,21272,1110,112,90
367,tiktok,2026-03-23,video,Finance,44463,3108,354,211
368,TikTok,2026-01-11,text,Technology,23358,1284,188,129
369,TWITTER,2026-02-24,Video,Lifestyle,44122,3839,411,342
370,YouTube,2026-03-11,Reel,Education,12489,1130,111,85
371,tiktok,2026-01-20,Video,Design,40683,2994,284,169
372,TIKTOK,2026-02-03,Carousel,Technology,45802,3851,459,328
373,Twitter,2026-03-21,IMAGE,Finance,22416,1699,204,164
374,YouTube,2026-01-04,video,Lifestyle,16480,1291,141,102
375,Twitter,2026-02-18,Video,Technology,12241,1105,182,116
376,TikTok,2026-03-05,Image,Design,18228,1102,112,87
377,FACEBOOK,2026-01-27,Video,Business,20272,1439,228,154
378,Instagram,2026-02-10,REEL,Finance,42517,2712,328,198
379,Instagram,2026-03-28,Carousel,Design,27361,1894,212,192
380,INSTAGRAM,2026-01-14,Video,Technology,39494,2192,252,188
381,Facebook,2026-02-26,text,Lifestyle,37533,2268,212,184
382,YouTube,2026-03-11,Video,Finance,26569,1894,181,140
383,youtube,2026-01-23,text,Technology,46727,3992,422,388
384,facebook,2026-02-07,Carousel,Business,44512,3230,311,205
385,Twitter,2026-03-24,IMAGE,Education,42375,3540,385,222
386,youtube,2026-01-15,video,Finance,19047,1210,141,102
387,twitter,2026-03-01,Video,Design,21015,1894,181,140
388,facebook,2026-03-17,Carousel,Lifestyle,32069,2102,284,188
389,Facebook,2026-01-09,IMAGE,Business,11663,982,88,71
390,INSTAGRAM,2026-02-23,text,Education,15865,1110,112,90
391,TWITTER,2026-03-08,Video,Design,39294,3108,354,211
392,YouTube,2026-01-20,Reel,Technology,23675,1284,188,129
393,Facebook,2026-02-04,video,Education,33139,2839,311,242
394,Twitter,2026-03-26,Video,Technology,17992,1130,111,85
395,TikTok,2026-01-12,IMAGE,Design,13010,994,84,69
396,tiktok,2026-02-25,Video,Finance,23351,1851,259,128
397,Instagram,2026-03-16,text,Lifestyle,10738,699,74,54
398,youtube,2026-01-29,Video,Technology,36081,2291,241,202
399,facebook,2026-02-13,text,Finance,29851,2102,185,142
400,TikTok,2026-03-29,Reel,Business,10011,894,84,69
401,tiktok,2026-01-18,IMAGE,Education,33045,2540,285,222
402,Twitter,2026-02-03,Video,Design,44121,3120,310,295
403,Twitter,2026-03-19,text,Technology,10651,894,84,69
404,INSTAGRAM,2026-01-06,Carousel,Education,27063,1851,211,268
405,Instagram,2026-02-22,Video,Finance,44605,3699,412,289
406,twitter,2026-03-07,Reel,Business,41961,3102,284,233
407,tiktok,2026-01-24,Video,Technology,12028,894,112,92
408,Instagram,2026-02-08,text,Education,12885,1192,152,108
409,Instagram,2026-03-24,Carousel,Lifestyle,24840,1268,112,154
410,Facebook,2026-01-10,IMAGE,Technology,21034,1894,312,192
411,INSTAGRAM,2026-02-24,Video,Design,17482,1102,111,105
412,FACEBOOK,2026-03-13,Carousel,Lifestyle,28135,2110,314,212
413,tiktok,2026-01-27,Text,Finance,19482,1282,141,110
414,TikTok,2026-02-09,video,Education,42194,3108,354,211
415,Instagram,2026-03-25,Text,Design,39502,2840,318,255
416,Instagram,2026-01-11,Reel,Technology,10850,720,84,69
417,Twitter,2026-03-01,text,Business,13867,1102,185,142
418,TWITTER,2026-03-17,Carousel,Finance,31012,2540,285,222
419,FACEBOOK,2026-01-28,IMAGE,Lifestyle,46755,3120,310,295
420,TikTok,2026-02-13,Video,Design,21408,1894,181,140
421,youtube,2026-03-04,Reel,Finance,47281,3851,459,328
422,Twitter,2026-01-14,video,Technology,20857,1699,204,164
423,YouTube,2026-02-27,Video,Business,19985,1291,141,102
424,FACEBOOK,2026-03-12,Carousel,Lifestyle,28905,2105,282,176
425,Twitter,2026-01-03,Text,Technology,15967,1102,112,87
426,INSTAGRAM,2026-02-17,Video,Design,33027,2439,328,154
427,TikTok,2026-03-02,video,Finance,24467,1712,188,142
428,FACEBOOK,2026-01-15,text,Lifestyle,34747,2108,254,188
429,TWITTER,2026-02-28,Video,Technology,36998,2994,384,269
430,Instagram,2026-03-13,Image,Design,10156,720,84,69
431,tiktok,2026-01-26,text,Education,32194,2840,318,255
432,Facebook,2026-02-08,Carousel,Business,21272,1110,112,90
433,tiktok,2026-03-24,video,Finance,44463,3108,354,211
434,TikTok,2026-01-12,text,Technology,23358,1284,188,129
435,TWITTER,2026-02-25,Video,Lifestyle,44122,3839,411,342
436,YouTube,2026-03-12,Reel,Education,12489,1130,111,85
437,tiktok,2026-01-21,Video,Design,40683,2994,284,169
